,domain,n_points,mean,median,std,iqr,min,max,range,cv(%)
0,metrics_caliblation,9,60.55555555555556,61.0,1.509230856356236,1.0,58.0,63.0,5.0,2.49230783618461
1,math_n_226,9,31.74444444444445,33.0,6.374776684541803,7.300000000000001,18.9,39.5,20.6,20.081550633838365
2,engineer,15,20.278000000000002,21.43,7.915774666539502,7.050000000000001,4.08,39.88,35.800000000000004,39.03626919094339
3,math,15,13.969333333333333,14.03,3.4119903421959,3.849999999999998,8.38,19.57,11.19,24.424861665046528
4,human_social,15,11.132,11.11,2.1820638985013376,4.24,7.54,14.68,7.14,19.601723845682155
12,engineer_n_15,9,3.0222222222222226,3.2,0.7207249436813217,0.7000000000000002,2.0,4.3,2.3,23.84751651886726
13,other,15,2.6406666666666667,2.44,1.6919281758931,0.0900000000000003,-0.26,6.92,7.18,64.07200868062736
14,physics_n_47,9,2.188888888888889,2.2,0.9662355360423829,1.2,1.1,3.8,2.6999999999999997,44.14274022528652
15,chemistry_n_23,9,1.1777777777777776,1.1,0.8212456663169946,1.0,0.0,2.2,2.2,69.72840563068823
16,other_n_41,9,1.011111111111111,1.0,0.5254627590144815,0.0,0.0,2.1,2.1,51.96884429813553
